Job Title,Requirements
Data Entry Operator job description,"Proven data entry work experience, as a Data Entry Operator or Office Clerk; Experience with MS Office and data programs; Familiarity with administrative duties; Experience using office equipment, like fax machine and scanner; Typing speed and accuracy; Excellent knowledge of correct spelling, grammar and punctuation; Attention to detail; Confidentiality; Organization skills, with an ability to stay focused on assigned tasks; High school diploma; additional computer training or certification will be an asset"
Director of Operations job description,"Proven experience asDirector of Operationsor equivalent position; Excellent organizational and leadership abilities; Outstanding communication and people skills; Knowledge of industry’s legal rules and guidelines; In depth knowledge of diverse business functions and principles (e.g. supply chain, finance, customer service etc.); Working knowledge of data analysis and performance/operation metrics; Familiarity with MS Office and various business software (e.g. ERP, CRM); BSc/BA in business administration or relevant field; MSc/MA will be a plus"
CEO job description,"Proven experience asCEOor in other managerial position; Experience in developing profitable strategies and implementing vision; Strong understanding of corporate finance and performance management principles; Familiarity with diverse business functions such as marketing, PR, finance etc.; In-depth knowledge of corporate governance and general management best practices; An entrepreneurial mindset with outstanding organizational and leadership skills; Analytical abilities and problem-solving skills; Excellent communication and public speaking skills; MSc/MA in business administration or relevant field"
Executive Director job description,Proven experience as executive director or in other managerial position; Experience in developing strategies and plans; Ability to apply successful fundraising and networking techniques; Strong understanding of corporate finance and measures of performance; In depth knowledge of corporate governance principles and managerial best practices; An analytical mind capable for “out-of-the-box” thinking to solve problems; Outstanding organization and leadership abilities; Excellent communication (oral and written) and public speaking skills; MSc/MA in business administration or relevant field
Managing Director job description,"Proven experience as Managing Director or other managerial position; Demonstrable experience in developing strategic and business plans; Thorough knowledge of market changes and forces that influence the company; Strong understanding of corporate finance and measures of performance; Familiarity with corporate law and management best practices; Excellent organisational and leadership skills; Excellent communication, interpersonal and presentation skills; Outstanding analytical and problem-solving abilities; BSc/BA in business administration or relevant field; MSc/MA will be preferred"
Assistant Director job description,"Provenexperience as assistant directoror other similar position; Experience in performance and operations management; Knowledge of relevantregulations and quality standards; Proficient in MS Office, relational databases and software (e.g. ERP); Outstanding communication and public speaking skills; Excellent organizational and leadership skills; Aptitude in problem-solving; BSc/BA in business administration or related field; MSc/MA is an asset"
Chief Administrative Officer (CAO) job description,"Proven experience as anadministrative officer; Experience in operations management; Solid understanding of business functions (HR, finance etc.); Knowledge of fiscal planning, budgeting and reporting; Knowledge of relevant laws and regulations (e.g. SEC); Proficient in MS Office and databases; Outstanding communication and interpersonal skills; Ability in decision-making and problem-solving; Excellent organizational and leaderships skills; BSc/BA in business administration or relevant field; MSc/MA is a definite plus"
COO job description,"Proven experience as Chief Operating Office or relevant role; Understanding of business functions such as HR, Finance, marketing etc.; Demonstrable competency in strategic planning and business development; Experience in fundraising will be a plus; Working knowledge of data analysis and performance/operation metrics; Working knowledge of IT/Business infrastructure and MS Office; Outstanding organizational and leadership abilities; Excellent interpersonal and public speaking skills; Aptitude in decision-making and problem-solving; BSc/BA in Business Administration or relevant field; MSc/MBA is a plus"
Administrative Assistant job description,"Proven experience as an Administrative Assistant,Virtual Assistantor Office Admin Assistant; Knowledge of office management systems and procedures; Working knowledge of office equipment, like printers and fax machines; Proficiency in MS Office (MS Excel and MS PowerPoint, in particular); Excellent time management skills and the ability to prioritize work; Attention to detail and problem solving skills; Excellent written and verbal communication skills; Strong organizational skills with the ability to multi-task; High School degree; additional qualification as an Administrative assistant or Secretary will be a plus"
Office Manager job description,"Proven experience as an Office Manager, Front Office Manager or Administrative Assistant; Knowledge of Office Administrator responsibilities, systems and procedures; Proficiency in MS Office (MS Excel and MS Outlook, in particular); Hands on experience with office machines (e.g. fax machines and printers); Familiarity with email scheduling tools, like Email Scheduler and Boomerang; Excellent time management skills and ability to multi-task and prioritize work; Attention to detail and problem solving skills; Excellent written and verbal communication skills; Strong organizational and planning skills in a fast-paced environment; A creative mind with an ability to suggest improvements; High School degree; additional qualification as an Administrative assistant or Secretary will be a plus"
AI Engineer job description,"Degree in Computer Science, Engineering, or related field; Experience with machine learning, deep learning, NLP, and computer vision; Proficiency in Python, Java, and R; Strong knowledge of AI frameworks such as TensorFlow or PyTorch; Excellent problem-solving skills and ability to work in a team environment"
AI Strategist job description,"Master’s or higher in Computer Science, AI, Business Administration, or related fields; Extensive experience in strategy development, particularly in AI or digital transformation; Proficient in machine learning, statistical analysis, and software development; Strong leadership skills and the ability to communicate complex concepts to a non-technical audience; Strategic thinker with a proven track record of executing successful technology integration projects"
AI Auditor job description,"Bachelor’s or Master’s degree in Computer Science, AI, Cybersecurity, or a related field; Proven experience in auditing, with a strong understanding of AI systems; Knowledge of data privacy laws, ethical guidelines, and industry standards; Technical proficiency in AI technologies, including machine learning and NLP; Excellent analytical, problem-solving, and communication skills"
AI Operations Manager job description,"Bachelor’s or Master’s degree in Artificial Intelligence, Computer Science, or related field; Extensive experience in managing complex AI systems within a corporate environment; Deep understanding of AI technology applications and infrastructure requirements; Proven leadership skills with the ability to manage and inspire multidisciplinary teams; Strong project management skills and the ability to handle multiple priorities; Excellent communication and stakeholder management skills"
AI analyst job description,"Advanced degree in Data Science, Computer Science, Statistics, or a related field; Proven experience as a data analyst or data scientist; Experience in using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets; Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks; Strong problem-solving skills with an emphasis on product development"
AI Trainer job description,"Advanced degree in Computer Science, Machine Learning, AI, or related field; Proven experience in AI training, machine learning algorithms, and model optimization; Strong proficiency in programming languages like Python, R, or Java; Excellent analytical, problem-solving, and communication skills; Familiarity with AI ethics and the implications of data privacy and security in training"
AI Architect job description,"Master’s or Ph.D. in Computer Science, Artificial Intelligence, or a related field; Extensive experience in designing AI applications and knowledge of machine learning frameworks like TensorFlow or PyTorch; Proven ability to lead and manage projects with cross-functional teams; Strong communication skills to effectively collaborate with various stakeholders; Critical thinking and problem-solving skills are essential; Experience with ethical AI practices and ensuring compliance with data protection regulations"
AI Product Manager job description,"Extensive experience as a Product Manager in a technology-driven field, preferably with direct exposure to AI product management; Robust understanding of artificial intelligence, machine learning, and related technologies; Demonstrated ability to develop product strategies and effectively communicate recommendations to executive management; Strong problem-solving skills and willingness to think outside the box; Excellent teamwork skills with an ability to get the work done with minimal supervision; Advanced degree in Computer Science, AI, Machine Learning, or related field is highly desirable; Proven track record of managing all aspects of a successful product throughout its lifecycle"
Web Optimization Manager job description,"3+ years of analytics experience, preferably in media/digital or marketing/adtech; Proficiency with Google Analytics, Kissmetrics, Heap, Mixpanel, or similar tools; Experience with Optimizely, Google Experiments, or similar testing platforms; Expertise in setting up A/B tests, particularly in customer checkout and sign-up flows; Ability to create conversion-focused copy; Self-motivated, resourceful, and capable of prioritizing multiple projects"
UX Data Analyst job description,"3+ years of experience working with web analytics tools and UX data; Proficiency in Google Tag Manager and Google Analytics; Strong analytical skills and attention to detail; Experience in UX research within a user-centric design process; Knowledge of WCAG 2.1 level AA web accessibility guidelines is a bonus; Bachelor’s degree in Human Factors, Computer Science, or a related field"
Support Engineer job description,"At least one year of experience in software development, technical support, or quality assurance; Working knowledge of databases and SQL; Degree in Computer Science or relevant engineering field; Willingness to learn Ruby on Rails; Diligence, quality-focused, and analytical skills; Proactive in contributing to organizational success; Excellent communication skills and team collaboration; Authorized to work in the United States"
Software Development Intern job description,Currently enrolled in a relevant BSc or MSc program; Interest in commercial web application development; Knowledge in at least one object-oriented web framework; Interest in user-centered interaction design; Agile thinker and capable of working effectively as part of a team; Motivated to learn new technologies and frameworks
Software Product Manager job description,"Proven experience in product management; Track record of managing successful products throughout their lifecycle; Ability to develop product and marketing strategies; Solid technical background with software development and web technologies understanding; Effective collaboration skills with software development teams; Excellent communication skills, both written and verbal; Preferred MSc/BSc degree in Computer Science, Engineering, or equivalent; Experience with agile methodologies is a plus"
Senior Software Developer job description,"3+ years of experience in building web applications using Node.js; Strong background in both relational and non-relational databases, with proficiency in SQL; Solid experience in JavaScript and the Node.js ecosystem; Ability to select and use the most appropriate tools, technologies, and languages for the job; Team-oriented, with a willingness to work as part of a collaborative environment; Skilled in software testing methodologies; A relevant B.Sc./B.A. degree in Computer Science, Engineering, or equivalent; Extra credit for experience with full-text search engines"
Senior QA Automation Engineer job description,"BS/MS degree in Computer Science, Engineering, or a strong technical background; 5+ years of experience in software development or QA automation; Proficiency in mobile/web application testing; Experience with programming languages such as Java, Groovy, Ruby, Python, or JavaScript; Familiarity with Appium or Selenium WebDriver, and testing frameworks like TestNG, JUnit, or Cucumber; Comfortable using Git, and experienced with CI tools like Jenkins, and test management tools like JIRA; Knowledge of SQL/NoSQL databases; Extra bonus for experience in native mobile testing frameworks (XCUITest, UIAutomator, Espresso) or micro-services architecture"
Senior Performance Engineer job description,"Software Development/QA experience in a production environment, including front-end and API development and testing; Proficiency in web application performance testing, including experience with Load Balancers, Linux, Postgres, Rails, or Node.js; Experience with performance monitoring of database servers and writing SQL queries; Proficiency in JavaScript and at least one scripting language (Java, Ruby, Python); Experience in building test frameworks and integrating within a CI stack using tools like SVN/GIT, Codeship/Jenkins, Ant, Maven, Puppet, JIRA; Experience with performance testing frameworks/tools (Jmeter, Loadrunner, Webload); Excellent interpersonal and communication skills; A relevant B.Sc./B.A. degree"
Senior Operations Engineer job description,"At least four years of experience in consulting, software engineering, operations, or technical customer-facing roles; Strong Computer Science background with experience in software development; Relevant degree in Computer Science, Engineering, or related field; Working knowledge of databases and SQL; Excellent communication skills, adaptable to different audiences; Detail-oriented with the ability to maintain focus on the big picture"
Senior Machine Learning Engineer job description,"BSc/MSc in Electrical & Computer Engineering, Machine Learning, Computer Science, or related fields, with 3+ years of ML implementation experience or a PhD with 1+ years of hands-on ML project experience; Solid knowledge of ML principles applied to recommendation/search systems; Proficiency in NLP, including language models and text processing; Experience with Python in Linux-based environments, Git, and ML frameworks (PyTorch/TensorFlow); Familiarity with relational databases (Postgres, MySQL); Extra credit for cloud deployment experience (GCP, AWS), containerization (Docker), vector search engines, knowledge graphs, PyTorch ecosystem projects, ML publications, or competition participation"
Senior IT Administrator job description,"Degree in Information Technology, Computer Science, or related discipline; 2-5 years of experience in IT support/administration; Scripting experience (Python, bash) and understanding of APIs; Proficient with MacOS and Windows; Excellent English communication skills; Experience with cloud or in-house services/systems administration; Desired: Jira administration, CRM systems, Mobile Device Management (MDM), basic network systems knowledge; Excellent communication skills, positive attitude, and ability to work effectively in a team"
Senior iOS Engineer job description,"Solid understanding of the iOS SDK, UIKit, GCD, and Auto Layout; Proficiency in Swift and experience with SwiftUI; Strong background in unit testing and memory management; Comfortable with Git and version control best practices; Deep understanding of the native mobile app ecosystem; Passion for creating user-centric applications with elegant and intuitive interfaces; Familiarity with functional or reactive programming frameworks like RxSwift or Combine is a plus"
Senior Frontend Engineer job description,"Highly proficient with JavaScript and JavaScript frameworks; Solid understanding of HTML5, CSS3/4, and web design principles; Experience with Git, unit, and integration testing; Comfortable with TypeScript (preferred); Understanding of SEO principles, web accessibility, and technical writing (bonus); Experience with CI/CD pipelines (bonus)"
Senior Database Engineer job description,"BS/MS degree in Computer Science, Engineering, or related field; Excellent written and verbal communication skills in English; Analytical skills with experience in troubleshooting large-scale distributed systems; Independent project delivery and passion for cloud technologies and automation; 5+ years of experience with relational databases in production environments; Data modeling and structure design expertise; Experience with major cloud providers (GCP, AWS preferred); Proficiency in SQL, PostgreSQL internals, and Linux systems; Familiarity with programming languages (Python, Go, Java, C++); Experience with configuration management and orchestration tools (Ansible, Terraform)"
Senior Data Scientist job description,"A minimum of two years of full-time work experience as a data scientist; A postgraduate degree in computer science, statistics, or a related subject; Solid and demonstrable knowledge of machine learning techniques and algorithms; Excellent programming skills in languages such as Java or Python; Experience with big data technologies and data analysis software like R or MATLAB; Exposure to natural language processing, image processing techniques, and big data stacks like Hadoop or Apache Spark is highly desirable; Familiarity with NoSQL databases, enterprise search technologies, and recommendation systems; Strong communication skills and the ability to work collaboratively across teams"
Senior Backend Engineer job description,"4+ years of experience in backend development using Ruby, Node, or Java; Strong knowledge of relational databases (PostgreSQL, MySQL) and NoSQL databases (MongoDB, Redis, Elastic); Proficiency in object-oriented design, multi-threading, and asynchronous programming; Experience with testing frameworks and unit/integration testing; BS/MS in Computer Science, Engineering, or related field; Familiarity with frontend frameworks, information security practices, AWS, Kubernetes, and Elasticsearch preferred"
Senior Backend Developer job description,"Proven experience as a Senior Backend Developer; Strong knowledge of backend programming languages like Java, Python, Ruby, or .NET; Experience with database technologies such as MySQL, PostgreSQL, and MongoDB; Familiarity with web server technologies like Node.js, J2EE, Apache, Nginx, ISS, etc; Understanding of code versioning tools, such as Git; Knowledge of user authentication and authorization between multiple systems, servers, and environments; Ability to integrate multiple data sources and databases into one system; Excellent problem-solving skills and ability to work in a team"
Security Engineer job description,"BS/MS in Computer Science, Engineering, or Information Security; 3+ years in security roles (Red or Blue team experience); Hands-on experience with application, system, and network security; Familiarity with cloud computing, Linux administration, and TCP/IP protocols; Strong knowledge of security fundamentals and best practices; Excellent communication skills in English"
Salesforce Developer job description,"Degree in IT, Computer Science, or related field; 2-5 years of experience in Salesforce development; Proficiency in Apex, SOQL, VisualForce, and Lightning components; Experience with Salesforce architecture and custom coding; Salesforce Developer Certification preferred; Familiarity with business process analysis and CRM systems; Excellent English and technical writing skills; Experience with cloud services and integrations is a plus"
Rails Developer job description,"Experience building and deploying commercial web applications; Proficiency in Ruby on Rails and at least one object-oriented web framework; Strong background in relational database theory and SQL; Understanding of multi-threading, database contention, and object-oriented design; Experience with user-centered interaction design; Relevant B.Sc./B.A. degree; Bonus: Interest in graphical design and familiarity with Edward Tufte’s work"
QA Automation Engineer job description,"BS/MS degree in Computer Science, Engineering, or related field.; 2+ years of experience as a Software Development Engineer in Test.; Proficiency in at least one programming language (Java, Groovy, Ruby, Python).; Experience with web application testing and Continuous Integration processes.; Familiarity with version control, defect tracking, and test management tools (GIT, Jenkins, JIRA).; Knowledge of SQL/NoSQL databases.; Bonus: Experience with native mobile application testing, Kubernetes, and microservices architecture."
Lead QA Engineer job description,"BS/MS degree in Computer Science, Engineering, or equivalent experience.; 5+ years of experience as a Software Development Engineer in Test in a production environment.; Ability to multi-task, proactive in project planning and requirements gathering.; Excellent English communication skills, especially written.; Proficiency in mobile or web application testing.; Experience in programming languages such as Java, Groovy, Ruby, Python, or JavaScript.; Extensive experience with Appium or Selenium WebDriver.; Familiarity with testing frameworks like TestNG, JUnit, or Cucumber.; Comfortable with Git, and CI processes using tools like Jenkins, JIRA.; Knowledge of SQL/NoSQL databases.; Attention to detail and ability to diagnose complex issues in application testing.; Bonus for leadership experience, native mobile testing frameworks, and micro-services architecture knowledge."
Lead Data Engineer job description,"At least 8 years of work experience, with 2 years in a similar role; Experience in data architecture, data quality, metadata management, ETL, analytics, reporting, and database administration; Strong computer science background and knowledge of software development methodologies; Excellent knowledge of SQL; Programming experience in a modern language (ideally Python); Good communication skills; Diligent, rigorous, and collaborative; Bonus: Experience in Project Management, Business Analysis, Consulting, Operations, Statistical analysis, Quality Assurance; Familiarity with Redshift, APIs, Git, Linux, AWS, Google Cloud is a plus"
Lead Business Systems Analyst job description,"BSc in Computer Science, Engineering, or a relevant field; 4-12 years of work experience in software design, development, or implementation; Project management experience; Familiarity with cloud-based business software is a plus; Experience working across departments as a Business Analyst or Consultant; Analytical and problem-solving skills; Strong communication skills and ability to influence diverse stakeholders; Positive, can-do attitude"
Junior Professional Services Engineer job description,"Minimum two years of experience in software development (Python or Ruby on Rails preferred); Good knowledge of SQL; BSc in Computer Science or similar degree, or other BSc plus coding school; Proficiency with Amazon Web Services (Redshift, S3, EC2, Lambda) is a plus; Experience with SDLC phases, Kubernetes, CI/CD, React, QA, JIRA, Agile development; Excellent communication skills; Ability to present technical information to a non-technical audience; Diligent, rigorous, and able to deliver projects on schedule; Collaborative skills in a multinational team environment"
Junior Operations Engineer job description,"Minimum 1 year of experience as a software developer or operations engineer, or significant programming exposure; Working knowledge of databases, SQL, Ruby on Rails, and Python (or willingness to learn); B.S. in Computer Science or related engineering field with software experience; Excellent communication skills; Diligent, rigorous, and quality-focused; Exceptional collaboration skills; Bonus: Experience in SDLC projects, Operations, Quality Assurance"
Junior IT Administrator job description,"Fluent in English with excellent written and oral communication skills; Tech-savvy, comfortable with modern office productivity tools; Pleasant and patient communicator; Self-motivated with a career drive in a tech startup; Computer science oriented education or tech background; Positive, problem-solving attitude; Bonus: College/university degree, tech support experience, familiarity with the Apple ecosystem, cloud systems administration experience"
Junior Developer job description,"1+ years of experience in software development or operations engineering.; Working knowledge of databases, SQL, and Ruby on Rails.; B.S. in Computer Science or related engineering field.; Excellent communication skills.; Detail-oriented and quality-focused approach.; Collaborative team player.; Bonus: Experience in SDLC projects, Operations, or Quality Assurance."
IT Administrator job description,"Relevant degree or certifications in IT administration, with basic networking knowledge.; Excellent communication skills, both oral and written.; Knowledge of help desk software and remote control tools.; Good knowledge of Apple MacOS administration and basic networking.; Excellent troubleshooting skills.; Ability to work independently and maintain customer satisfaction.; Bonus: Experience as a service desk agent or IT administrator, and understanding of the SaaS or technology industry."
iOS Engineer job description,Solid understanding of the iOS SDK and frameworks like UIKit and GCD.; Proficiency in Swift and experience with Auto Layout.; Experience with TDD and testing frameworks.; Deep understanding of native mobile app ecosystem.; Experience with RESTful APIs integration.; Good understanding of threads and memory management.; Comfortable with Git.; Passion for creating user-centric apps.; Bonus: Familiarity with functional programming or reactive programming frameworks.
Frontend Team Lead job description,"Experience in providing technical guidance to a team.; Highly proficient with JavaScript frameworks.; Solid understanding of HTML5, CSS3/4, and modern web design principles.; Passion for coding interactive user experiences.; Comfortable with Git.; Bonus: Experience in team building and leadership.; Bonus: Familiarity with NodeJS, Ruby on Rails, SEO principles, web accessibility.; Bonus: Experience with remote working."
Frontend Engineer job description,"Proficiency in JavaScript frameworks.; Solid understanding of HTML5, CSS3/4 for styling and designing web pages.; Passion for creating interactive user experiences.; Bonus: Comfortable with Git, NodeJS, or Ruby on Rails.; Bonus: Good understanding of SEO principles and web accessibility.; Ability to work collaboratively with a team."
Data Annotator job description,"A high degree of reliability and attention to detail.; Solid organizational skills.; Ability to work independently and efficiently.; A university degree (or currently studying).; Oral and written proficiency in English.; Proficiency in other languages, copywriting, or copy-editing experience, experience as a translator, background in linguistics, experience with linguistic annotation, and familiarity with annotation tools and platforms are desirable.; Knowledge of ontologies and text markup languages."
Backend Javascript Developer job description,"CS degree or equivalent; Experience in building and designing highly scalable services and RESTful APIs; Good working knowledge of JavaScript or other object-oriented programming languages; Deep understanding of event-driven or message-driven architecture; Familiarity with some of the following frameworks: node.js, Spring Boot, Rails; Experience with SOA architecture and NoSQL databases is a plus"
Prompt Engineer job description,"Proven work experience as a Prompt Engineer or similar role; Strong verbal and written communication skills; Proficient in programming languages, AI-related tools such as ChatGPT, and data analysis techniques; Comprehensive understanding of natural language processing, machine learning and AI-generated content development; Excellent problem-solving and analytical skills; Ability to collaborate effectively with cross-functional teams; Relevant training and/or certifications in computer science, AI or a related field"
Android Engineer job description,"Extensive experience with Android development and a strong understanding of the Android ecosystem.; Proficiency in Java and the Android SDK.; Experience with Android libraries, frameworks, and patterns.; Knowledge of software design principles and best practices.; Familiarity with RESTful APIs and JSON.; Experience with agile development methodologies.; Strong problem-solving and critical thinking skills.; Excellent communication and collaboration skills.; Attention to detail and a commitment to quality.; Ability to work independently and as part of a team.; Bachelor’s degree in Computer Science or a related field (preferred)"
UX Researcher job description,Proven work experience as a UX Researcher or similar role; Experience implementing design choices based on user feedback; Experience working with Designers and Programmers to improve the usability of products and other features; Relevant training and/or certifications as a UX Researcher
Site Reliability Engineer job description,"Proven work experience as a Site Reliability Engineer or similar role; Collaborate and communicate asynchronously; Document all the things so you don’t need to learn the same thing twice; Have an enthusiastic, go-for-it attitude; Relevant training and/or certifications as a Site Reliability Engineer"
Computer Science job description,"Proven work experience as a Computer Scientist or similar role; The ability to think through problems and find solutions with various computer technologies; Experience working with leaders in an organization to identify their needs; Strong programming skills in languages such as Python, Java, C++, or others, depending on the specific field of focus; Proficiency in data analysis, machine learning, or artificial intelligence techniques and tools; Knowledge of software development methodologies and practices, including agile methodologies and version control systems; Familiarity with database management systems and SQL for efficient data storage and retrieval; Excellent problem-solving and critical-thinking abilities to tackle complex computational and mathematical challenges; Strong communication and interpersonal skills to collaborate effectively with team members and stakeholders; Ability to adapt to evolving technologies and learn new programming languages and frameworks quickly; Understanding of computer architecture and operating systems principles; Knowledge of cybersecurity principles and practices to ensure the security of computer systems and data; A bachelor’s or master’s degree in computer science or a related field, or equivalent work experience and certifications."
Cloud Architect job description,Proven work experience as a Cloud Architect or similar role; Positive attitude and a strong commitment to delivering quality work; Excellent knowledge of cloud computing technologies and current computing trends; Effective communication skills (written and verbal) to properly articulate complicated cloud reports to management and other IT development partners; Relevant training and/or certifications as a Cloud Architect
Cloud Engineer job description,"Proven work experience as a Cloud Engineer or similar role; Azure, AWS, and GCP certifications preferred; Troubleshooting and analytical skills; Strong communication and collaboration skills; Client management skills to discuss systems as needed; Relevant training and/or certifications as a Cloud Engineer"
Quality Analyst job description,"Proven work experience as a Quality Analyst or similar role; Experience in quality inspection, auditing and testing; Excellent communication skills, both written and verbal; Strong computer skills and knowledge of QA databases and applications; Strong analytical and problem-solving skills; Meticulous attention to detail; Relevant training and/or certifications as a Quality Analyst"
Application Engineer job description,"Proven work experience as an Application Engineer or similar role; Previous experience in sales or customer services is advantageous; Extensive experience in deploying, optimizing and maintaining software; Excellent analytical and problem-solving abilities; Exceptional customer service and interpersonal skills; Superb collaboration and communication; Great organization and time management; Relevant training and/or certifications as an Application Engineer"
Video Game Designer job description,Proven work experience as a Video Game Designer or similar role; Enthusiasm and knowledge of the industry; Relevant certification in programming languages; Portfolio of sample projects; Relevant training and/or certifications as a Video Game Designer
Product Engineer Job Description,Proven work experience as a Product Engineer or similar role; Advanced analytical and design skills; Excellent written and verbal communication skills; Knowledge of industry and market trends; A bachelor’s degree in mechanical engineering or similar field is preferred; Relevant training and/or certifications as a Product Engineer
Engineering Technician job description,Proven work experience as an Engineering Technician or similar role; A valid driver’s license; Excellent attention to detail and organizational skills; Strong customer service skills and time management; Excellent health and safety knowledge; Ability to collaborate and remain calm and professional in a fast-paced environment; Relevant licensure or certifications may be required; High school diploma or equivalent is preferred
Computer Engineer job description,"Proven work experience as a Computer Engineer or similar role; Strong knowledge of design analytics, algorithms, and measuring tools; Excellent verbal and written communication skills; A creative thinker with good analytical abilities; Proficient in problem-solving to resolve issues in a timely manner; Bachelor’s degree in computer engineering or computer science training preferred"
Medical Coder job description,"Proven work experience as a Medical Coder or similar role; 2+ years of work experience as a Medical Coder; Proficient computer skills; Work with coding software; Excellent communication skills, both verbal and written; Outstanding organizational skills; Ability to maintain the confidentiality of information; High school diploma or GED required"
Cyber Security Specialist job description,"Proven work experience as a Cyber Security Specialist or similar role; Hands-on experience analyzing high volumes of logs, network data and other attack artifacts; Experience with vulnerability scanning solutions; Proficiency with antivirus and security software; Bachelor’s degree in Computer Science, Information Systems, or equivalent education or work experience"
Director of Engineering job description,"Work experience as a director of engineering or in a similar senior-level position at an engineering department; Extensive experience with cloud technologies and modern human-computer interfaces; Hands-on experience in back-end and front-end development; Good understanding of agile methodologies; Leadership abilities with a strategic mind; Excellent project management skills; BSc/MSc in Engineering, Computer Science or relevant field"
Full Stack Developer job description,"Proven experience as a Full Stack Developer or similar role; Experience developing desktop and mobile applications; Familiarity with common stacks; Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery); Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js); Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design; Excellent communication and teamwork skills; Great attention to detail; Organizational skills; An analytical mind; Degree in Computer Science, Statistics or relevant field"
Scrum Master job description,"Experience in a scrum master role; Familiarity with software development; Excellent knowledge of Scrum techniques and artifacts (such as definition of done, user stories, automated testing, backlog refinement); Good knowledge of other Agile frameworks (Crystal, XP etc.); Excellent communication and servant leadership skills; Problem-solving and conflict-resolution ability; Outstanding organizational skills; Degree in Computer Science, Business or similar field; Scrum master certification is a plus"
IT Operations Manager job description,"Proven experience as IT Operations Manager; Experience with system installation, configuration and analysis; Thorough knowledge of networks and cloud computing; Knowledge of data protection operations and legislation (e.g. GDPR); Leadership and organizational skills; Ability to manage multiple projects; Outstanding communication skills; Problem-solving aptitude; BSc/BA in Computer Science, IT or relevant field"
Business Operations Manager job description,Previous experience as a Business Operations Manager or in a similar role; Good knowledge of operations management; Experience with forecasting models; Experience with databases and project management software; The ability to interpret financial data and allocate budgets; Exceptional communication skills; BSc in Business Management or relevant field
Natural Language Processing Engineer job description,"Proven experience as an NLP Engineer or similar role; Understanding of NLP techniques for text representation, semantic extraction techniques, data structures and modeling; Ability to effectively design software architecture; Deep understanding of text representation techniques (such as n-grams, bag of words, sentiment analysis etc), statistics and classification algorithms; Knowledge of Python, Java and R; Ability to write robust and testable code; Experience with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn); Strong communication skills; An analytical mind with problem-solving abilities; Degree in Computer Science, Mathematics, Computational Linguistics or similar field"
Machine Learning Engineer job description,"Proven experience as a Machine Learning Engineer or similar role; Understanding of data structures, data modeling and software architecture; Deep knowledge of math, probability, statistics and algorithms; Ability to write robust code in Python, Java and R; Familiarity with machine learning frameworks (like Keras or PyTorch) and libraries (like scikit-learn); Excellent communication skills; Ability to work in a team; Outstanding analytical and problem-solving skills; BSc in Computer Science, Mathematics or similar field; Master’s degree is a plus"
Lead Data Scientist job description,"Proven experience as a Data Scientist or similar role; Solid understanding of machine learning; Knowledge of data management and visualization techniques; A knack for statistical analysis and predictive modeling; Good knowledge of R, Python and MATLAB; Experience with SQL and NoSQL databases; Strong organizational and leadership skills; Excellent communication skills; A business mindset; Degree in Computer Science, Data Science, Mathematics or similar field"
Senior System Administrator job description,Work experience as a Senior System Administrator; Good knowledge of at least one scripting language; Solid understanding of LAN/WAN networks; Knowledge of system security techniques; Good problem-solving and communication skills; Team management abilities; BSc in Computer Science or similar field
Senior Python Developer job description,"Solid experience as Python Developer; Experience with Python frameworks (e.g. Django, Flask, Bottle); Familiarity with Amazon Web Services (AWS) and REST API; Understanding of databases and SQL; Knowledge of JavaScript and the AngularJS framework is a plus; Attention to detail; Leadership skills; BSc in Computer Science, Engineering or relevant field"
Python Developer job description,"Work experience as a Python Developer; Expertise in at least one popular Python framework (like Django, Flask or Pyramid); Knowledge of object-relational mapping (ORM); Familiarity with front-end technologies (like JavaScript and HTML5); Team spirit; Good problem-solving skills; BSc in Computer Science, Engineering or relevant field"
Senior Ruby Developer job description,"Work experience as a Ruby Developer; In-depth understanding of object-oriented programming; Hands-on experience writing command-line apps using Ruby libraries; Expertise in Rails; Understanding of agile software development; Familiarity with automated testing platforms; Problem-solving skills; Team spirit; BSc in Engineering, Computer Science or relevant field"
Senior .NET Developer job description,"Work experience as a .NET Developer; Proficiency in building web-based applications; In-depth knowledge of at least one of the .NET languages (like C# and Visual Basic .NET); Familiarity with agile environments; Troubleshooting abilities; Good communication skills; BSc in Computer Science, Engineering or relevant field"
Senior Java Developer job description,"Work experience as a Senior Java Developer or similar role; Experience designing, building and testing Java EE applications; In-depth knowledge of popular Java frameworks like JSF and Spring MVC; Experience with Object-Oriented Design (OOD); Good delegation and time management skills; Problem-solving abilities; BSc in Computer Science, Engineering or relevant field"
Java Software Engineer job description,"Work experience as a Java Software Engineer, Java Developer or similar role; Experience building Java EE applications; Familiarity with Object-Oriented Design (OOD); Good knowledge of popular Java frameworks like JSF and Spring MVC; Experience with test-driven development; Problem-solving skills; BSc in Computer Science, Engineering or relevant field"
